model,mAP50,mAP50_95,precision,recall,inference_ms
YOLOv8s,0.6938282560841142,0.3277148363911638,0.9473684210526315,0.7128712871287128,8.242984509943199
RT-DETR-L,0.9007323200148711,0.4318115359372904,0.9169435215946844,0.9108910891089109,17.04177769992384
Faster R-CNN ResNet50 FPN v2,0.9340919117676947,0.44170149585837315,0.9087947882736156,0.9207920792079208,21.966804249932466
